lead_id,company_name,contact_name,title,email,phone,city,state,segment,estimated_doctors,source,status,notes
L021,Centro Médico Mérida,Dra. Beatriz Campos,Directora Médica,bcampos@cmmerida.mx,+52 999 111 2222,Mérida,Yucatán,Centro médico,10,Conference,new,Interesada en soluciones locales
L022,Clínica Especializada Lomas,Dr. Rodrigo Flores,Socio Fundador,rflores@lomas.clinic,+52 55 3333 4444,Ciudad de México,CDMX,Clínica privada,5,LinkedIn,new,Especialidad: ortopedia
L023,Consultorios Médicos Juárez,Dra. Claudia Rojas,Administradora,crojas@juarez.med,+52 656 555 6666,Ciudad Juárez,Chihuahua,Consultorios compartidos,6,Google Search,new,Busca alternativa a EMR cloud
L024,Clínica Médica Cuernavaca,Dr. Javier Moreno,Director Médico,jmoreno@cmcuernavaca.mx,+52 777 888 9999,Cuernavaca,Morelos,Clínica privada,7,LinkedIn,new,Busca piloto sin compromiso
L025,Instituto de Salud del Pacífico,Dra. Adriana Vega,Subdirectora,avega@ispacifico.mx,+52 669 222 3333,Culiacán,Sinaloa,Instituto privado,12,Conference,contacted,Solicitó más info sobre SLOs
L026,Clínica del Centro,Dr. Sergio Delgado,Director General,sdelgado@clinicacentro.mx,+52 55 4444 5555,Ciudad de México,CDMX,Clínica privada,6,Referral,new,Referida por L008
L027,Centro Médico Tijuana,Ing. Diana Herrera,Gerente IT,dherrera@cmtijuana.mx,+52 664 666 7777,Tijuana,Baja California,Centro médico,9,Google Search,new,Tech background
L028,Clínica Familiar Cancún,Dra. Isabel Fuentes,Directora Médica,ifuentes@cfcancun.mx,+52 998 888 9999,Cancún,Quintana Roo,Clínica privada,5,LinkedIn,new,Especialidad: medicina familiar
L029,Consultorios Médicos Narvarte,Dr. Guillermo Paredes,Socio,gparedes@narvarte.med,+52 55 1111 2222,Ciudad de México,CDMX,Consultorios compartidos,4,Referral,new,Referido por L014
L030,Clínica Médica del Sur,Dra. Verónica Chávez,Directora General,vchavez@cmdelsur.mx,+52 55 3333 4444,Ciudad de México,CDMX,Clínica privada,8,LinkedIn,new,Busca mejorar eficiencia ops
L031,Centro de Salud Integral GDL,Dr. Arturo Mendoza,Director Médico,amendoza@csigdl.mx,+52 33 5555 6666,Guadalajara,Jalisco,Centro médico,10,Conference,new,Asistió a Health Tech Expo 2024
L032,Clínica Especializada Del Valle,Dra. Mariana Soto,Administradora,msoto@delvalle.clinic,+52 81 7777 8888,Monterrey,Nuevo León,Clínica privada,7,Google Search,new,Especialidad: ginecología
L033,Instituto Médico de Occidente,Dr. Ricardo Luna,Director IT,rluna@imooccidente.mx,+52 33 9999 0000,Guadalajara,Jalisco,Instituto privado,11,LinkedIn,contacted,Solicitó demo remoto
